I'm Good (Blue);David Guetta & Bebe Rexha;imgood.jpg;4;4;3;6-4-4
Creepin';Metro Boomin, The Weeknd & 21 Savage;creepin.jpg;5;6;4;8-7-6-5
As It Was;Harry Styles;asitwas.jpg;8;7;12;8-4-3-2-1-1-1-4-5-6-7-8
Anti-Hero;Taylor Swift;antihero.jpg;1;1;12;6-4-3-2-1-1-1-1-1-1-1-1
Bad Habit;Steve Lacy;badhabit.jpg;9;9;1;9
Something In The Orange;Zach Bryan;stintheorange.jpg;10;11;2;10-10
Kill Bill;SZA;killbill.jpg;2;3;5;9-7-4-3-2
Unholy;Sam Smith & Kim Petras;unholy.jpg;3;2;8;9-8-7-3-2-1-2-3
Die For You;The Weeknd;dieforyou.jpg;6;8;5;10-9-8-8-6
Rich Flex;Drake & 21 Savage;richflex.jpg;7;5;10;8-4-3-2-1-1-1-4-5-7
